median_income,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,LESS_THAN_1H_OCEAN,INLAND,NEAR_BAY,NEAR_OCEAN,ISLAND,median_house_value
8.3252,-122.23,37.88,41,880,129.0,322,126,0,0,1,0,0,452600
8.3014,-122.22,37.86,21,7099,1106.0,2401,1138,0,0,1,0,0,358500
7.2574,-122.24,37.85,52,1467,190.0,496,177,0,0,1,0,0,352100
5.6431,-122.25,37.85,52,1274,235.0,558,219,0,0,1,0,0,341300
3.8462,-122.25,37.85,52,1627,280.0,565,259,0,0,1,0,0,342200
4.0368,-122.25,37.85,52,919,213.0,413,193,0,0,1,0,0,269700
3.6591,-122.25,37.84,52,2535,489.0,1094,514,0,0,1,0,0,299200
3.12,-122.25,37.84,52,3104,687.0,1157,647,0,0,1,0,0,241400
2.0804,-122.26,37.84,42,2555,665.0,1206,595,0,0,1,0,0,226700
3.6912,-122.25,37.84,52,3549,707.0,1551,714,0,0,1,0,0,261100
3.2031,-122.26,37.85,52,2202,434.0,910,402,0,0,1,0,0,281500
3.2705,-122.26,37.85,52,3503,752.0,1504,734,0,0,1,0,0,241800
3.075,-122.26,37.85,52,2491,474.0,1098,468,0,0,1,0,0,213500
2.6736,-122.26,37.84,52,696,191.0,345,174,0,0,1,0,0,191300
1.9167,-122.26,37.85,52,2643,626.0,1212,620,0,0,1,0,0,159200
2.125,-122.26,37.85,50,1120,283.0,697,264,0,0,1,0,0,140000
2.775,-122.27,37.85,52,1966,347.0,793,331,0,0,1,0,0,152500
2.1202,-122.27,37.85,52,1228,293.0,648,303,0,0,1,0,0,155500
1.9911,-122.26,37.84,50,2239,455.0,990,419,0,0,1,0,0,158700
2.6033,-122.27,37.84,52,1503,298.0,690,275,0,0,1,0,0,162900
1.3578,-122.27,37.85,40,751,184.0,409,166,0,0,1,0,0,147500
1.7135,-122.27,37.85,42,1639,367.0,929,366,0,0,1,0,0,159800
1.725,-122.27,37.84,52,2436,541.0,1015,478,0,0,1,0,0,113900
2.1806,-122.27,37.84,52,1688,337.0,853,325,0,0,1,0,0,99700
2.6,-122.27,37.84,52,2224,437.0,1006,422,0,0,1,0,0,132600
2.4038,-122.28,37.85,41,535,123.0,317,119,0,0,1,0,0,107500
2.4597,-122.28,37.85,49,1130,244.0,607,239,0,0,1,0,0,93800
1.808,-122.28,37.85,52,1898,421.0,1102,397,0,0,1,0,0,105500
1.6424,-122.28,37.84,50,2082,492.0,1131,473,0,0,1,0,0,108900
1.6875,-122.28,37.84,52,729,160.0,395,155,0,0,1,0,0,132000
1.9274,-122.28,37.84,49,1916,447.0,863,378,0,0,1,0,0,122300
1.9615,-122.28,37.84,52,2153,481.0,1168,441,0,0,1,0,0,115200
1.7969,-122.27,37.84,48,1922,409.0,1026,335,0,0,1,0,0,110400
1.375,-122.27,37.83,49,1655,366.0,754,329,0,0,1,0,0,104900
2.7303,-122.27,37.83,51,2665,574.0,1258,536,0,0,1,0,0,109700
1.4861,-122.27,37.83,49,1215,282.0,570,264,0,0,1,0,0,97200
1.0972,-122.27,37.83,48,1798,432.0,987,374,0,0,1,0,0,104500
1.4103,-122.28,37.83,52,1511,390.0,901,403,0,0,1,0,0,103900
3.48,-122.26,37.83,52,1470,330.0,689,309,0,0,1,0,0,191400
2.5898,-122.26,37.83,52,2432,715.0,1377,696,0,0,1,0,0,176000
2.0978,-122.26,37.83,52,1665,419.0,946,395,0,0,1,0,0,155400
1.2852,-122.26,37.83,51,936,311.0,517,249,0,0,1,0,0,150000
1.025,-122.26,37.84,49,713,202.0,462,189,0,0,1,0,0,118800
3.9643,-122.26,37.84,52,950,202.0,467,198,0,0,1,0,0,188800
3.0125,-122.26,37.83,52,1443,311.0,660,292,0,0,1,0,0,184400
2.6768,-122.26,37.83,52,1656,420.0,718,382,0,0,1,0,0,182300
2.026,-122.26,37.83,50,1125,322.0,616,304,0,0,1,0,0,142500
1.7348,-122.27,37.82,43,1007,312.0,558,253,0,0,1,0,0,137500
0.9506,-122.26,37.82,40,624,195.0,423,160,0,0,1,0,0,187500
1.775,-122.27,37.82,40,946,375.0,700,352,0,0,1,0,0,112500
0.9218,-122.27,37.82,21,896,453.0,735,438,0,0,1,0,0,171900
1.5045,-122.27,37.82,43,1868,456.0,1061,407,0,0,1,0,0,93800
1.1108,-122.27,37.82,41,3221,853.0,1959,720,0,0,1,0,0,97500
1.2475,-122.27,37.82,52,1630,456.0,1162,400,0,0,1,0,0,104200
1.6098,-122.28,37.82,52,1170,235.0,701,233,0,0,1,0,0,87500
1.4113,-122.28,37.82,52,945,243.0,576,220,0,0,1,0,0,83100
1.5057,-122.28,37.82,52,1238,288.0,622,259,0,0,1,0,0,87500
0.8172,-122.28,37.82,52,1489,335.0,728,244,0,0,1,0,0,85300
1.2171,-122.28,37.82,52,1387,341.0,1074,304,0,0,1,0,0,80300
2.5625,-122.29,37.82,2,158,43.0,94,57,0,0,1,0,0,60000
3.3929,-122.29,37.83,52,1121,211.0,554,187,0,0,1,0,0,75700
6.1183,-122.29,37.82,49,135,29.0,86,23,0,0,1,0,0,75000
0.9011,-122.29,37.81,50,760,190.0,377,122,0,0,1,0,0,86100
1.191,-122.3,37.81,52,1224,237.0,521,159,0,0,1,0,0,76100
2.5938,-122.3,37.81,48,828,182.0,392,133,0,0,1,0,0,73500
1.1667,-122.3,37.81,52,1010,209.0,604,187,0,0,1,0,0,78400
0.8056,-122.3,37.81,48,1455,354.0,788,332,0,0,1,0,0,84400
2.6094,-122.29,37.8,52,1027,244.0,492,147,0,0,1,0,0,81300
1.8516,-122.3,37.81,52,572,109.0,274,82,0,0,1,0,0,85000
0.9802,-122.29,37.81,46,2801,644.0,1823,611,0,0,1,0,0,129200
1.7719,-122.29,37.81,26,768,152.0,392,127,0,0,1,0,0,82500
0.7286,-122.29,37.81,46,935,297.0,582,277,0,0,1,0,0,95200
1.75,-122.29,37.81,49,844,204.0,560,152,0,0,1,0,0,75000
0.4999,-122.29,37.81,46,12,4.0,18,7,0,0,1,0,0,67500
2.483,-122.29,37.81,20,835,161.0,290,133,0,0,1,0,0,137500
0.9241,-122.28,37.81,17,1237,462.0,762,439,0,0,1,0,0,177500
2.4464,-122.28,37.81,36,2914,562.0,1236,509,0,0,1,0,0,102100
1.1111,-122.28,37.81,19,1207,243.0,721,207,0,0,1,0,0,108300
0.8026,-122.29,37.81,23,1745,374.0,1054,325,0,0,1,0,0,112500
2.0114,-122.28,37.8,38,684,176.0,344,155,0,0,1,0,0,131300
1.5,-122.28,37.81,17,924,289.0,609,289,0,0,1,0,0,162500
